case_id,question,target_file_name,target_page_no,file_hit@1,page_hit@1,page_hit@3,page_hit@5,mrr,retrieved,chunk_size,chunk_overlap,strategy,rerank,latency_ms,cost_usd,total_tokens
0,"처음에 재난피해 규모를 최소화하기 위해 지자체의 신속한 대응이 중요하다고 말씀하셨는데, 이를 위해 지역에서 주도하는 현장 중심의 재난관리 체계를 구축한다고 말씀하셨습니다. 이 중 '상시 상황관리'에서는 어떤 방안을 제시하고 있으며, 이를 어떻게 추진하려는 계획이 있는지 설명하시오.",2024년 행정안전부 업무계획.pdf,11,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 2, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 31}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 10}, {""rank"": 4, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 12}, {""rank"": 5, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 18}]",700,100,mmr,False,587.3421199969016,0.0,0
1,온기를 전달하는 나눔‧상생의 문화를 확산하기 위한 범국민‧지역별 추진본부의 구성 예정 시기와 주요 홍보 방법에는 어떤 것들이 있나요?,2024년 행정안전부 업무계획.pdf,20,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 20}, {""rank"": 2, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 6}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 12}, {""rank"": 4, ""source"": ""\uc81c4\ucc28(24_28)+\ud559\uad50\ub3c4\uc11c\uad00+\uc9c4\ud765+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 28}, {""rank"": 5, ""source"": ""(\ubcf4\ub3c4\uc790\ub8cc)2024\ub144+\uad50\uc721\ubd80+\uc8fc\uc694\uc815\ucc45+\ucd94\uc9c4\uacc4\ud68d+\ubc1c\ud45c_\ubcf4\ub3c4\uc790\ub8cc.pdf"", ""page_no"": 2}]",700,100,mmr,False,587.3421199969016,0.0,0
2,"2023년 국가안전시스템 개편에 대한 주요 성과와 함께, 이러한 개편을 통해 어떤 실질적인 훈련이 실시되었는지 설명해주세요.",2024년 행정안전부 업무계획.pdf,3,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 3}, {""rank"": 2, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 3}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 4, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 12}, {""rank"": 5, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 20}]",700,100,mmr,False,587.3421199969016,0.0,0
3,"정부의 소상공인 지원과 관련해 '대환대출', '일시적 경영 애로자금'의 확대 예산 규모와 시행 연도, 그리고 이를 통해 예상되는 저금리 대출 지원 규모는 어떻게 변화하는지 설명해주세요.",2024년 주요업무 추진계획.pdf,6,0,0,1,1,0.5,"[{""rank"": 1, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 29}, {""rank"": 2, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 6}, {""rank"": 3, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 8}, {""rank"": 4, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 9}, {""rank"": 5, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 17}]",700,100,mmr,False,587.3421199969016,0.0,0
4,"2023년 기준 앙골라와의 교역규모는 얼마이며, 대앙골라 누계 투자액은 2022년 기준으로 얼마인가요?",외교부-2024년 앙골라개황(저).pdf,36,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""\uc678\uad50\ubd80-2024\ub144 \uc559\uace8\ub77c\uac1c\ud669(\uc800).pdf"", ""page_no"": 36}, {""rank"": 2, ""source"": ""\uc678\uad50\ubd80-2024\ub144 \uc559\uace8\ub77c\uac1c\ud669(\uc800).pdf"", ""page_no"": 19}, {""rank"": 3, ""source"": ""\uc678\uad50\ubd80-2024\ub144 \uc559\uace8\ub77c\uac1c\ud669(\uc800).pdf"", ""page_no"": 7}, {""rank"": 4, ""source"": ""\uc678\uad50\ubd80-2024\ub144 \uc559\uace8\ub77c\uac1c\ud669(\uc800).pdf"", ""page_no"": 37}, {""rank"": 5, ""source"": ""\uc678\uad50\ubd80-2024\ub144 \uc559\uace8\ub77c\uac1c\ud669(\uc800).pdf"", ""page_no"": 22}]",700,100,mmr,False,587.3421199969016,0.0,0
0,"처음에 재난피해 규모를 최소화하기 위해 지자체의 신속한 대응이 중요하다고 말씀하셨는데, 이를 위해 지역에서 주도하는 현장 중심의 재난관리 체계를 구축한다고 말씀하셨습니다. 이 중 '상시 상황관리'에서는 어떤 방안을 제시하고 있으며, 이를 어떻게 추진하려는 계획이 있는지 설명하시오.",2024년 행정안전부 업무계획.pdf,11,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 2, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 31}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 10}, {""rank"": 4, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 12}, {""rank"": 5, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 18}]",700,100,mmr,True,19105.390659999102,0.0,0
1,온기를 전달하는 나눔‧상생의 문화를 확산하기 위한 범국민‧지역별 추진본부의 구성 예정 시기와 주요 홍보 방법에는 어떤 것들이 있나요?,2024년 행정안전부 업무계획.pdf,20,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 20}, {""rank"": 2, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 6}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 12}, {""rank"": 4, ""source"": ""\uc81c4\ucc28(24_28)+\ud559\uad50\ub3c4\uc11c\uad00+\uc9c4\ud765+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 28}, {""rank"": 5, ""source"": ""(\ubcf4\ub3c4\uc790\ub8cc)2024\ub144+\uad50\uc721\ubd80+\uc8fc\uc694\uc815\ucc45+\ucd94\uc9c4\uacc4\ud68d+\ubc1c\ud45c_\ubcf4\ub3c4\uc790\ub8cc.pdf"", ""page_no"": 2}]",700,100,mmr,True,19105.390659999102,0.0,0
2,"2023년 국가안전시스템 개편에 대한 주요 성과와 함께, 이러한 개편을 통해 어떤 실질적인 훈련이 실시되었는지 설명해주세요.",2024년 행정안전부 업무계획.pdf,3,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 3}, {""rank"": 2, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 3}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 4, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 12}, {""rank"": 5, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 20}]",700,100,mmr,True,19105.390659999102,0.0,0
3,"정부의 소상공인 지원과 관련해 '대환대출', '일시적 경영 애로자금'의 확대 예산 규모와 시행 연도, 그리고 이를 통해 예상되는 저금리 대출 지원 규모는 어떻게 변화하는지 설명해주세요.",2024년 주요업무 추진계획.pdf,6,0,0,1,1,0.5,"[{""rank"": 1, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 29}, {""rank"": 2, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 6}, {""rank"": 3, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 8}, {""rank"": 4, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 9}, {""rank"": 5, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 17}]",700,100,mmr,True,19105.390659999102,0.0,0
4,"2023년 기준 앙골라와의 교역규모는 얼마이며, 대앙골라 누계 투자액은 2022년 기준으로 얼마인가요?",외교부-2024년 앙골라개황(저).pdf,36,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""\uc678\uad50\ubd80-2024\ub144 \uc559\uace8\ub77c\uac1c\ud669(\uc800).pdf"", ""page_no"": 36}, {""rank"": 2, ""source"": ""\uc678\uad50\ubd80-2024\ub144 \uc559\uace8\ub77c\uac1c\ud669(\uc800).pdf"", ""page_no"": 19}, {""rank"": 3, ""source"": ""\uc678\uad50\ubd80-2024\ub144 \uc559\uace8\ub77c\uac1c\ud669(\uc800).pdf"", ""page_no"": 7}, {""rank"": 4, ""source"": ""\uc678\uad50\ubd80-2024\ub144 \uc559\uace8\ub77c\uac1c\ud669(\uc800).pdf"", ""page_no"": 37}, {""rank"": 5, ""source"": ""\uc678\uad50\ubd80-2024\ub144 \uc559\uace8\ub77c\uac1c\ud669(\uc800).pdf"", ""page_no"": 22}]",700,100,mmr,True,19105.390659999102,0.0,0
